Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
12/16/20	Dixie St.	0	10	0-2	0-0	0-0	2	0	0	0	0	0
12/31/20	Eastern Wash.	0	5	0-3	0-0	0-0	1	0	0	0	0	0
01/02/21	Eastern Wash.	0	2	0-0	0-0	0-0	0	0	0	0	0	0
01/09/21	Sacramento St.	10	14	4-7	0-0	2-2	3	1	0	0	1	0
01/14/21	Montana St.	0	10	0-2	0-0	0-0	2	2	0	0	1	1
01/16/21	Montana St.	0	3	0-0	0-0	0-0	1	0	0	0	0	0
01/21/21	Idaho St.	10	21	4-6	0-0	2-3	2	0	0	3	3	0
01/23/21	Idaho St.	5	15	0-3	0-0	5-6	4	1	0	0	0	0
01/27/21	Col. of Idaho	12	20	6-9	0-0	0-1	9	1	1	1	0	1
02/04/21	Montana	0	14	0-1	0-0	0-0	1	1	0	0	1	0
02/06/21	Montana	0	6	0-0	0-0	0-0	0	0	0	0	0	0
02/11/21	Northern Ariz.	7	13	3-4	0-1	1-2	1	0	0	0	0	2
02/14/21	Northern Ariz.	4	6	2-2	0-0	0-0	1	0	0	0	0	1
02/18/21	Idaho	10	16	4-8	0-0	2-2	7	0	1	0	0	0
02/20/21	Idaho	6	22	2-4	0-0	2-2	5	2	0	1	1	3
02/22/21	Warner Pacific	6	16	2-3	0-0	2-2	4	0	0	1	1	0
02/25/21	Northern Colo.	14	23	6-8	0-1	2-3	2	0	0	0	1	0
02/27/21	Northern Colo.	2	22	1-4	0-0	0-0	3	0	0	0	2	1
02/28/21	Warner Pacific	6	15	3-7	0-0	0-0	2	0	0	1	0	0
03/03/21	Southern Utah	2	28	1-4	0-1	0-0	5	0	1	0	0	2
03/05/21	Southern Utah	6	35	3-6	0-1	0-0	14	2	3	2	0	3
03/08/21	Eastern Wash.	8	25	3-6	0-0	2-3	6	2	0	2	0	1
03/09/21	Idaho St.	5	25	2-5	1-2	0-0	3	0	0	1	2	2
11/09/21	Warner Pacific	0	4	0-1	0-0	0-0	2	0	0	0	0	0
11/12/21	Dixie St.	2	4	1-5	0-0	0-0	1	0	0	0	0	0
11/20/21	Prairie View	0	1	0-0	0-0	0-0	0	0	0	0	0	0
11/27/21	Utah Valley	2	6	1-2	0-0	0-0	3	0	0	0	0	0
12/02/21	Idaho St.	0	5	0-0	0-0	0-2	0	0	1	0	0	1
12/04/21	Weber St.	0	4	0-0	0-0	0-0	1	1	0	0	0	0
12/10/21	Pepperdine	6	7	3-3	0-0	0-0	0	0	0	0	0	0
12/12/21	Portland	0	4	0-2	0-0	0-0	0	0	0	0	0	1
12/19/21	Simpson (CA)	4	17	2-5	0-0	0-0	5	2	0	1	0	1
01/15/22	Sacramento St.	2	14	1-3	0-0	0-0	3	0	0	0	0	0
01/17/22	Eastern Wash.	0	14	0-0	0-0	0-0	1	0	1	0	0	1
01/20/22	Montana	2	16	0-2	0-2	2-2	4	0	0	1	0	1
01/22/22	Montana St.	4	8	1-1	0-0	2-4	2	0	0	0	0	1
01/27/22	Southern Utah	0	4	0-1	0-0	0-0	2	0	0	0	0	1
01/29/22	Northern Ariz.	0	5	0-1	0-0	0-0	0	0	0	0	0	0
01/31/22	Southern Utah	2	15	0-0	0-0	2-2	1	1	1	1	1	0
02/03/22	Northern Colo.	0	9	0-1	0-0	0-2	0	0	0	0	0	0
02/05/22	Sacramento St.	0	7	0-0	0-0	0-0	0	0	0	0	0	0
02/07/22	Northern Colo.	2	15	1-4	0-0	0-0	1	2	0	2	0	0
02/17/22	Northern Ariz.	4	12	1-1	0-0	2-2	1	0	0	0	0	0
02/19/22	Montana	0	11	0-1	0-0	0-0	0	0	0	0	2	1
02/21/22	Montana St.	0	1	0-0	0-0	0-0	0	0	0	0	0	0
02/23/22	Weber St.	4	10	2-2	0-0	0-1	1	2	0	1	1	1
02/26/22	Idaho St.	3	6	1-1	1-1	0-0	1	1	0	0	0	1
02/28/22	Idaho	0	8	0-0	0-0	0-0	0	1	0	0	0	0
03/04/22	Eastern Wash.	0	10	0-1	0-0	0-0	1	0	0	0	0	0
03/07/22	Idaho	1	17	0-2	0-1	1-4	6	0	0	1	2	1
10/27/23	College of Idaho (ID)	24	26	8-12	1-1	7-7	6	1	2	0	2	1
11/03/23	Arizona Christian	8	37	4-10	0-0	0-1	10	2	0	0	4	1
11/04/23	SAGU American Indian	15	20	7-10	0-0	1-1	3	0	0	0	1	0
11/10/23	Northwest	19	33	7-13	0-0	5-6	5	1	0	3	3	2
11/11/23	Corban (OR)	22	32	10-12	2-2	0-0	8	0	0	0	1	1
11/24/23	Dickinson State	28	34	13-18	0-2	2-2	0	3	0	1	0	2
11/25/23	Valley City State	22	24	10-18	0-1	2-4	3	0	1	1	0	1
12/19/23	UHSP	10	31	5-12	0-3	0-0	4	2	0	0	1	0
12/21/23	Benedictine Mesa (AZ)	17	27	6-8	0-0	5-6	4	1	0	0	1	3
12/22/23	Indiana Wesleyan (IN)	5	23	2-6	0-0	1-2	5	1	0	0	0	0
12/29/23	Southern Alberta Institute of	13	23	6-8	0-0	1-1	7	3	0	0	0	0
12/30/23	Dickinson State (ND)	13	24	5-10	1-2	2-2	5	5	0	0	1	0
01/06/24	Montana Tech (MT)	6	39	2-11	0-2	2-2	9	5	2	0	1	2
01/11/24	Providence (MT)	11	23	4-9	1-2	2-4	8	3	0	0	2	0
02/01/24	Montana State-Northern (MT)	15	26	7-12	0-0	1-2	2	3	2	1	0	1
02/03/24	Carroll (MT)	17	23	7-10	0-0	3-5	3	1	0	0	0	3
02/08/24	Montana Western (MT)	11	24	4-6	0-0	3-6	5	0	0	2	2	1
02/10/24	Providence (MT)	12	21	6-11	0-0	0-0	4	1	0	0	0	1
02/15/24	Montana Tech (MT)	13	36	6-10	0-0	1-2	11	2	0	0	1	4
02/17/24	Montana State-Northern (MT)	12	35	6-12	0-0	0-0	12	3	2	0	1	2
02/22/24	Carroll (MT)	9	33	4-6	0-1	1-1	4	0	0	0	2	4
02/24/24	Montana Western (MT)	35	37	16-21	0-0	3-4	10	0	0	0	2	4
02/29/24	Montana State-Northern (MT)	26	31	11-16	0-0	4-7	4	0	0	1	2	4
03/01/24	Carroll (MT)	1	29	0-5	0-0	1-2	4	2	2	0	4	1
10/30/22	The King's University	10	20	4-7	0-0	2-2	3	1	1	2	2	0
11/04/22	Lewis-Clark State	3	17	1-6	0-0	1-2	3	4	0	1	1	2
11/05/22	Lewis-Clark State	22	22	10-17	0-0	2-2	6	0	1	1	2	1
11/11/22	San Diego Christian	16	14	7-11	0-0	2-2	6	2	3	0	0	0
11/12/22	Vanguard	8	13	3-4	0-0	2-2	2	0	0	0	3	5
11/25/22	Dickinson State	14	14	7-8	0-0	0-0	3	0	1	1	1	3
11/26/22	Dickinson State	18	16	8-11	0-0	2-2	3	0	0	2	0	1
12/01/22	Montana Tech	13	24	6-11	0-0	1-1	6	1	0	1	1	1
12/03/22	Providence (Mont.)	0	14	0-2	0-0	0-0	1	0	1	0	1	1
12/20/22	Benedictine Mesa	11	11	5-7	0-0	1-3	2	2	0	0	0	3
12/21/22	San Diego Christian	12	17	5-11	0-0	2-2	3	0	0	0	2	1
12/22/22	Rust	8	16	3-9	0-0	2-2	6	0	0	0	1	1
12/29/22	Southern Alberta Institute of	18	23	6-6	0-0	6-7	7	4	0	0	0	0
12/30/22	Dickinson State	8	14	3-7	0-0	2-4	3	1	1	0	0	2
01/05/23	Montana State-Northern	15	14	7-10	0-0	1-2	0	1	0	1	2	2
01/07/23	Carroll	5	16	2-3	0-0	1-2	2	0	0	0	0	1
01/12/23	Montana Western	13	18	6-10	0-0	1-1	2	0	0	0	1	2
01/14/23	Providence (Mont.)	20	22	9-15	0-0	2-3	7	1	0	1	1	1
01/19/23	Montana Tech	9	13	2-5	0-0	5-6	1	0	1	1	1	1
01/21/23	Montana State-Northern	12	12	5-7	0-0	2-2	2	0	0	0	2	2
01/26/23	Carroll	4	12	1-4	0-0	2-2	1	0	0	0	0	0
01/28/23	Montana Western	10	17	4-8	0-0	2-2	1	0	1	0	1	2
02/02/23	Providence (Mont.)	3	12	1-2	0-0	1-1	2	1	2	0	0	0
02/04/23	Montana Tech	2	16	0-3	0-0	2-2	3	0	0	0	0	1
02/09/23	Montana State-Northern	10	21	3-8	0-1	4-6	2	0	4	0	0	2
02/11/23	Carroll (MT)	2	19	1-5	0-0	0-0	3	1	2	1	1	2
02/18/23	Montana Western	2	6	1-2	0-0	0-0	2	0	0	0	0	1
02/26/23	Montana State-Northern	14	14	6-9	0-0	2-2	4	1	0	0	1	1
02/27/23	Montana Western	2	18	1-1	0-0	0-0	3	0	0	1	0	1
03/07/23	Menlo	6	20	2-6	0-0	2-2	3	1	1	1	1	1
03/08/23	Lewis-Clark State	4	19	1-9	0-0	2-2	4	1	0	0	0	1
