Game By Game - Team Statistics
Opponent	Date	Score	W/L	FGM/A	PCT	3FG/A	PCT	FTM/A	PCT	OFF	DEF	TOT	AVG	PF	AST	TO	BLK	STL	PTS	AVG
at Dixie St.	12/16/20	63-53	W	21-55	.382	5-15	.333	16-23	.696	9	29	38	38.0	12	13	12	0	10	63	63.0
at Air Force	12/28/20	65-94	L	19-53	.358	5-17	.294	22-33	.667	9	17	26	32.0	12	8	24	5	12	65	64.0
vs Eastern Wash.	12/31/20	71-73	L	22-56	.393	10-26	.385	17-22	.773	13	24	37	33.7	18	13	16	0	5	71	66.3
vs Eastern Wash.	01/02/21	67-73	L	24-60	.400	12-31	.387	7-11	.636	14	19	33	33.5	23	16	21	3	9	67	66.5
vs Sacramento St.	01/07/21	66-64	W	20-63	.317	5-22	.227	21-26	.808	14	31	45	35.8	12	13	14	0	11	66	66.4
at Sacramento St.	01/09/21	74-64	W	28-57	.491	7-14	.500	11-13	.846	11	31	42	36.8	13	17	22	1	10	74	67.7
vs Montana St.	01/14/21	67-75	L	25-53	.472	11-26	.423	6-12	.500	5	25	30	35.9	21	14	11	1	5	67	67.6
vs Montana St.	01/16/21	72-70	W	24-52	.462	7-17	.412	17-22	.773	9	21	30	35.1	13	12	11	4	9	72	68.1
at Idaho St.	01/21/21	55-80	L	20-48	.417	4-17	.235	11-15	.733	9	22	31	34.7	16	7	28	1	9	55	66.7
at Idaho St.	01/23/21	62-70	L	15-63	.238	5-22	.227	27-30	.900	19	24	43	35.5	16	7	10	1	10	62	66.2
vs Col. of Idaho	01/27/21	59-37	W	25-69	.362	6-25	.240	3-7	.429	19	37	56	37.4	7	14	17	3	8	59	65.5
at Montana	02/04/21	61-60	W	17-55	.309	6-26	.231	21-28	.750	13	22	35	37.2	15	8	10	6	11	61	65.2
at Montana	02/06/21	63-76	L	25-64	.391	8-20	.400	5-8	.625	9	21	30	36.6	10	17	7	1	10	63	65.0
vs Northern Ariz.	02/11/21	75-73	W	30-55	.545	10-20	.500	5-8	.625	5	24	29	36.1	13	14	14	4	7	75	65.7
vs Northern Ariz.	02/14/21	58-56	W	21-50	.420	8-26	.308	8-11	.727	6	24	30	35.7	13	16	17	3	12	58	65.2
at Idaho	02/18/21	63-86	L	24-69	.348	4-21	.190	11-15	.733	13	27	40	35.9	17	12	14	4	7	63	65.1
vs Idaho	02/20/21	64-75	L	25-76	.329	5-23	.217	9-11	.818	13	32	45	36.5	21	11	10	2	7	64	65.0
vs Warner Pacific	02/22/21	66-30	W	27-78	.346	6-31	.194	6-9	.667	24	37	61	37.8	15	16	14	3	15	66	65.1
vs Northern Colo.	02/25/21	51-73	L	18-61	.295	5-23	.217	10-15	.667	10	15	25	37.2	12	13	10	2	15	51	64.3
vs Northern Colo.	02/27/21	60-62	L	21-52	.404	5-18	.278	13-15	.867	8	17	25	36.6	18	14	12	2	7	60	64.1
vs Warner Pacific	02/28/21	83-41	W	32-70	.457	12-31	.387	7-10	.700	14	29	43	36.9	16	26	16	7	14	83	65.0
at Southern Utah	03/03/21	51-58	L	20-64	.313	8-25	.320	3-4	.750	7	23	30	36.5	21	11	8	3	9	51	64.4
at Southern Utah	03/05/21	60-57	W	21-54	.389	5-23	.217	13-16	.813	6	21	27	36.1	21	11	16	7	8	60	64.2
vs Eastern Wash.	03/08/21	71-51	W	24-59	.407	9-21	.429	14-19	.737	12	24	36	36.1	14	13	12	3	12	71	64.5
at Idaho St.	03/09/21	50-66	L	17-58	.293	6-23	.261	10-12	.833	10	17	27	35.8	10	6	16	2	9	50	63.9
