Game By Game - Team Statistics
Opponent	Date	Score	W/L	FGM/A	PCT	3FG/A	PCT	FTM/A	PCT	OFF	DEF	TOT	AVG	PF	AST	TO	BLK	STL	PTS	AVG
vs The King's University	10/30/22	98-32	W	37-78	.474	6-20	.300	18-23	.783	11	25	36	36.0	15	21	14	6	29	98	98.0
at Lewis-Clark State	11/04/22	69-95	L	25-81	.309	9-32	.281	10-14	.714	21	22	43	39.5	24	16	20	1	10	69	83.5
at Lewis-Clark State	11/05/22	73-80	L	26-83	.313	8-31	.258	13-15	.867	20	34	54	44.3	18	19	18	1	7	73	80.0
at San Diego Christian	11/11/22	73-33	W	27-79	.342	7-30	.233	12-16	.750	27	35	62	48.8	11	24	14	4	10	73	78.3
at Vanguard	11/12/22	47-69	L	17-49	.347	5-14	.357	8-10	.800	10	17	27	44.4	16	13	16	1	6	47	72.0
at Dickinson State	11/25/22	81-42	W	33-61	.541	10-26	.385	5-7	.714	8	37	45	44.5	20	20	16	7	14	81	73.5
at Dickinson State	11/26/22	79-48	W	28-56	.500	10-29	.345	13-18	.722	10	32	42	44.1	13	16	8	7	7	79	74.3
at Montana Tech	12/01/22	59-42	W	23-68	.338	9-26	.346	4-5	.800	10	26	36	43.1	10	11	9	0	9	59	72.4
vs Providence (Mont.)	12/03/22	48-46	W	20-56	.357	6-20	.300	2-6	.333	5	20	25	41.1	13	8	10	5	5	48	69.7
vs Benedictine Mesa	12/20/22	81-39	W	30-60	.500	10-29	.345	11-16	.688	10	28	38	40.8	17	19	19	3	9	81	70.8
at San Diego Christian	12/21/22	72-59	W	24-55	.436	11-28	.393	13-17	.765	9	29	38	40.5	7	18	18	3	7	72	70.9
vs Rust	12/22/22	63-65	L	20-55	.364	6-13	.462	17-23	.739	5	26	31	39.8	17	12	16	6	5	63	70.3
vs Southern Alberta Institute of	12/29/22	101-50	W	33-69	.478	14-32	.438	21-27	.778	17	39	56	41.0	9	23	16	1	11	101	72.6
vs Dickinson State	12/30/22	64-47	W	23-58	.397	10-24	.417	8-12	.667	9	21	30	40.2	7	18	10	4	11	64	72.0
at Montana State-Northern	01/05/23	76-60	W	30-60	.500	6-19	.316	10-15	.667	10	20	30	39.5	14	13	12	4	11	76	72.3
vs Carroll	01/07/23	58-51	W	22-51	.431	6-21	.286	8-11	.727	5	19	24	38.6	13	12	11	2	8	58	71.4
at Montana Western	01/12/23	58-83	L	23-61	.377	4-21	.190	8-15	.533	9	8	17	37.3	17	14	12	3	4	58	70.6
at Providence (Mont.)	01/14/23	67-43	W	28-61	.459	7-18	.389	4-6	.667	7	29	36	37.2	15	20	14	0	11	67	70.4
vs Montana Tech	01/19/23	60-48	W	19-46	.413	5-20	.250	17-22	.773	6	25	31	36.9	19	8	12	4	7	60	69.8
vs Montana State-Northern	01/21/23	76-41	W	30-57	.526	9-27	.333	7-11	.636	4	20	24	36.3	13	15	14	2	15	76	70.2
at Carroll	01/26/23	47-65	L	15-40	.375	6-15	.400	11-17	.647	6	18	24	35.7	13	9	17	2	5	47	69.0
vs Montana Western	01/28/23	73-83	L	23-51	.451	10-21	.476	17-19	.895	7	16	23	35.1	19	15	12	3	9	73	69.2
vs Providence (Mont.)	02/02/23	61-44	W	23-53	.434	10-31	.323	5-9	.556	8	26	34	35.0	13	13	12	3	5	61	68.9
at Montana Tech	02/04/23	59-54	W	19-60	.317	7-28	.250	14-15	.933	9	25	34	35.0	15	12	9	5	11	59	68.5
vs Montana State-Northern	02/09/23	64-54	W	23-49	.469	8-17	.471	10-14	.714	3	17	20	34.4	12	10	10	6	7	64	68.3
at Carroll (MT)	02/11/23	52-56	L	18-52	.346	9-23	.391	7-12	.583	7	23	30	34.2	14	7	12	6	10	52	67.7
vs Montana Western	02/18/23	45-68	L	17-55	.309	4-18	.222	7-9	.778	7	25	32	34.1	16	6	14	2	4	45	66.8
vs Montana State-Northern	02/26/23	70-61	W	26-58	.448	5-22	.227	13-19	.684	9	19	28	33.9	13	17	7	1	8	70	66.9
at Montana Western	02/27/23	55-64	L	19-53	.358	6-23	.261	11-12	.917	8	20	28	33.7	17	10	16	1	8	55	66.5
at Menlo	03/07/23	68-62	W	22-45	.489	8-20	.400	16-23	.696	5	26	31	33.6	17	8	22	2	10	68	66.6
at Lewis-Clark State	03/08/23	50-67	L	17-63	.270	12-35	.343	4-5	.800	16	26	42	33.9	13	10	19	4	3	50	66.0
