Game By Game - Team Statistics
Opponent	Date	Score	W/L	FGM/A	PCT	3FG/A	PCT	FTM/A	PCT	OFF	DEF	TOT	AVG	PF	AST	TO	BLK	STL	PTS	AVG
vs College of Idaho (ID)	10/27/23	74-56	W	29-59	.492	5-16	.313	11-12	.917	13	26	39	39.0	14	20	16	7	7	74	74.0
at Arizona Christian	11/03/23	56-51	W	21-59	.356	5-22	.227	9-13	.692	20	33	53	46.0	22	9	21	2	6	56	65.0
at SAGU American Indian	11/04/23	103-23	W	41-80	.513	11-27	.407	10-11	.909	20	27	47	46.3	14	30	5	0	16	103	77.7
at Northwest	11/10/23	78-64	W	26-57	.456	5-19	.263	21-31	.677	11	19	30	42.3	16	11	12	3	8	78	77.8
at Corban (OR)	11/11/23	84-67	W	31-59	.525	4-13	.308	18-22	.818	12	28	40	41.8	18	11	7	4	4	84	79.0
at Dickinson State	11/24/23	81-74	W	32-70	.457	5-20	.250	12-15	.800	8	28	36	40.8	21	17	8	1	10	81	79.3
at Valley City State	11/25/23	91-49	W	36-74	.486	7-19	.368	12-20	.600	10	33	43	41.1	20	18	9	4	14	91	81.0
vs UHSP	12/19/23	79-70	W	30-67	.448	14-35	.400	5-6	.833	10	23	33	40.1	10	23	7	6	10	79	80.8
at Benedictine Mesa (AZ)	12/21/23	87-83	W	31-62	.500	11-20	.550	14-21	.667	11	27	38	39.9	20	19	15	6	4	87	81.4
at Indiana Wesleyan (IN)	12/22/23	34-75	L	12-48	.250	6-17	.353	4-11	.364	9	22	31	39.0	14	8	25	2	1	34	76.7
vs Southern Alberta Institute of	12/29/23	89-46	W	33-69	.478	10-29	.345	13-19	.684	13	24	37	38.8	11	18	16	1	17	89	77.8
vs Dickinson State (ND)	12/30/23	81-53	W	33-66	.500	10-24	.417	5-7	.714	10	24	34	38.4	16	22	11	6	10	81	78.1
at Montana Tech (MT)	01/06/24	50-51	L	17-53	.321	7-27	.259	9-10	.900	10	21	31	37.8	16	10	12	4	6	50	75.9
vs Providence (MT)	01/11/24	51-60	L	20-57	.351	4-19	.211	7-15	.467	7	25	32	37.4	15	9	12	2	6	51	74.1
vs Montana State-Northern (MT)	01/13/24	75-76	L	27-68	.397	11-27	.407	10-14	.714	5	24	29	36.9	9	14	7	1	4	75	74.2
vs Carroll (MT)	01/18/24	56-63	L	17-54	.315	6-23	.261	16-20	.800	13	20	33	36.6	19	6	10	2	4	56	73.1
at Montana Western (MT)	01/20/24	65-86	L	21-57	.368	6-26	.231	17-20	.850	10	18	28	36.1	12	9	10	2	4	65	72.6
at Providence (MT)	01/25/24	58-47	W	23-58	.397	10-22	.455	2-2	1.000	8	28	36	36.1	11	15	10	4	6	58	71.8
vs Montana Tech (MT)	01/27/24	77-37	W	27-59	.458	15-36	.417	8-10	.800	11	27	38	36.2	11	17	9	2	9	77	72.1
at Montana State-Northern (MT)	02/01/24	77-54	W	28-58	.483	11-21	.524	10-12	.833	6	24	30	35.9	15	14	8	8	8	77	72.3
at Carroll (MT)	02/03/24	61-70	L	27-58	.466	3-14	.214	4-12	.333	7	22	29	35.6	14	15	15	1	4	61	71.8
vs Montana Western (MT)	02/08/24	60-66	L	22-53	.415	8-27	.296	8-12	.667	10	18	28	35.2	7	16	15	1	7	60	71.2
vs Providence (MT)	02/10/24	54-65	L	19-53	.358	7-19	.368	9-10	.900	5	29	34	35.2	12	7	15	3	3	54	70.5
at Montana Tech (MT)	02/15/24	50-38	W	18-57	.316	5-30	.167	9-16	.563	15	30	45	35.6	19	9	20	2	7	50	69.6
at Montana State-Northern (MT)	02/17/24	61-72	L	24-58	.414	8-25	.320	5-8	.625	9	22	31	35.4	14	15	11	4	5	61	69.3
vs Carroll (MT)	02/22/24	61-73	L	23-57	.404	6-17	.353	9-11	.818	7	21	28	35.1	20	9	12	0	4	61	69.0
vs Montana Western (MT)	02/24/24	73-86	L	30-64	.469	6-25	.240	7-10	.700	15	21	36	35.1	16	16	11	0	3	73	69.1
at Montana State-Northern (MT)	02/29/24	86-81	W	29-62	.468	8-26	.308	20-26	.769	10	24	34	35.1	15	21	8	5	7	86	69.7
at Carroll (MT)	03/01/24	50-65	L	16-53	.302	8-23	.348	10-11	.909	8	21	29	34.9	16	10	15	3	4	50	69.0
