Baird, Morgan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
12/16/20	Dixie St.	0	10	0-2	0-0	0-0	2	0	0	0	0	0
12/31/20	Eastern Wash.	0	5	0-3	0-0	0-0	1	0	0	0	0	0
01/02/21	Eastern Wash.	0	2	0-0	0-0	0-0	0	0	0	0	0	0
01/09/21	Sacramento St.	10	14	4-7	0-0	2-2	3	1	0	0	1	0
01/14/21	Montana St.	0	10	0-2	0-0	0-0	2	2	0	0	1	1
01/16/21	Montana St.	0	3	0-0	0-0	0-0	1	0	0	0	0	0
01/21/21	Idaho St.	10	21	4-6	0-0	2-3	2	0	0	3	3	0
01/23/21	Idaho St.	5	15	0-3	0-0	5-6	4	1	0	0	0	0
01/27/21	Col. of Idaho	12	20	6-9	0-0	0-1	9	1	1	1	0	1
02/04/21	Montana	0	14	0-1	0-0	0-0	1	1	0	0	1	0
02/06/21	Montana	0	6	0-0	0-0	0-0	0	0	0	0	0	0
02/11/21	Northern Ariz.	7	13	3-4	0-1	1-2	1	0	0	0	0	2
02/14/21	Northern Ariz.	4	6	2-2	0-0	0-0	1	0	0	0	0	1
02/18/21	Idaho	10	16	4-8	0-0	2-2	7	0	1	0	0	0
02/20/21	Idaho	6	22	2-4	0-0	2-2	5	2	0	1	1	3
02/22/21	Warner Pacific	6	16	2-3	0-0	2-2	4	0	0	1	1	0
02/25/21	Northern Colo.	14	23	6-8	0-1	2-3	2	0	0	0	1	0
02/27/21	Northern Colo.	2	22	1-4	0-0	0-0	3	0	0	0	2	1
02/28/21	Warner Pacific	6	15	3-7	0-0	0-0	2	0	0	1	0	0
03/03/21	Southern Utah	2	28	1-4	0-1	0-0	5	0	1	0	0	2
03/05/21	Southern Utah	6	35	3-6	0-1	0-0	14	2	3	2	0	3
03/08/21	Eastern Wash.	8	25	3-6	0-0	2-3	6	2	0	2	0	1
03/09/21	Idaho St.	5	25	2-5	1-2	0-0	3	0	0	1	2	2
