Baird, Morgan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/09/21	Warner Pacific	0	4	0-1	0-0	0-0	2	0	0	0	0	0
11/12/21	Dixie St.	2	4	1-5	0-0	0-0	1	0	0	0	0	0
11/20/21	Prairie View	0	1	0-0	0-0	0-0	0	0	0	0	0	0
11/27/21	Utah Valley	2	6	1-2	0-0	0-0	3	0	0	0	0	0
12/02/21	Idaho St.	0	5	0-0	0-0	0-2	0	0	1	0	0	1
12/04/21	Weber St.	0	4	0-0	0-0	0-0	1	1	0	0	0	0
12/10/21	Pepperdine	6	7	3-3	0-0	0-0	0	0	0	0	0	0
12/12/21	Portland	0	4	0-2	0-0	0-0	0	0	0	0	0	1
12/19/21	Simpson (CA)	4	17	2-5	0-0	0-0	5	2	0	1	0	1
01/15/22	Sacramento St.	2	14	1-3	0-0	0-0	3	0	0	0	0	0
01/17/22	Eastern Wash.	0	14	0-0	0-0	0-0	1	0	1	0	0	1
01/20/22	Montana	2	16	0-2	0-2	2-2	4	0	0	1	0	1
01/22/22	Montana St.	4	8	1-1	0-0	2-4	2	0	0	0	0	1
01/27/22	Southern Utah	0	4	0-1	0-0	0-0	2	0	0	0	0	1
01/29/22	Northern Ariz.	0	5	0-1	0-0	0-0	0	0	0	0	0	0
01/31/22	Southern Utah	2	15	0-0	0-0	2-2	1	1	1	1	1	0
02/03/22	Northern Colo.	0	9	0-1	0-0	0-2	0	0	0	0	0	0
02/05/22	Sacramento St.	0	7	0-0	0-0	0-0	0	0	0	0	0	0
02/07/22	Northern Colo.	2	15	1-4	0-0	0-0	1	2	0	2	0	0
02/17/22	Northern Ariz.	4	12	1-1	0-0	2-2	1	0	0	0	0	0
02/19/22	Montana	0	11	0-1	0-0	0-0	0	0	0	0	2	1
02/21/22	Montana St.	0	1	0-0	0-0	0-0	0	0	0	0	0	0
02/23/22	Weber St.	4	10	2-2	0-0	0-1	1	2	0	1	1	1
02/26/22	Idaho St.	3	6	1-1	1-1	0-0	1	1	0	0	0	1
02/28/22	Idaho	0	8	0-0	0-0	0-0	0	1	0	0	0	0
03/04/22	Eastern Wash.	0	10	0-1	0-0	0-0	1	0	0	0	0	0
03/07/22	Idaho	1	17	0-2	0-1	1-4	6	0	0	1	2	1
