Baird, Morgan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF	Year
10/27/23	College of Idaho (ID)	24	26	8-12	1-1	7-7	6	1	2	0	2	1	Senior
11/03/23	Arizona Christian	8	37	4-10	0-0	0-1	10	2	0	0	4	1	Senior
11/04/23	SAGU American Indian	15	20	7-10	0-0	1-1	3	0	0	0	1	0	Senior
11/10/23	Northwest	19	33	7-13	0-0	5-6	5	1	0	3	3	2	Senior
11/11/23	Corban (OR)	22	32	10-12	2-2	0-0	8	0	0	0	1	1	Senior
11/24/23	Dickinson State	28	34	13-18	0-2	2-2	0	3	0	1	0	2	Senior
11/25/23	Valley City State	22	24	10-18	0-1	2-4	3	0	1	1	0	1	Senior
12/19/23	UHSP	10	31	5-12	0-3	0-0	4	2	0	0	1	0	Senior
12/21/23	Benedictine Mesa (AZ)	17	27	6-8	0-0	5-6	4	1	0	0	1	3	Senior
12/22/23	Indiana Wesleyan (IN)	5	23	2-6	0-0	1-2	5	1	0	0	0	0	Senior
12/29/23	Southern Alberta Institute of	13	23	6-8	0-0	1-1	7	3	0	0	0	0	Senior
12/30/23	Dickinson State (ND)	13	24	5-10	1-2	2-2	5	5	0	0	1	0	Senior
01/06/24	Montana Tech (MT)	6	39	2-11	0-2	2-2	9	5	2	0	1	2	Senior
01/11/24	Providence (MT)	11	23	4-9	1-2	2-4	8	3	0	0	2	0	Senior
02/01/24	Montana State-Northern (MT)	15	26	7-12	0-0	1-2	2	3	2	1	0	1	Senior
02/03/24	Carroll (MT)	17	23	7-10	0-0	3-5	3	1	0	0	0	3	Senior
02/08/24	Montana Western (MT)	11	24	4-6	0-0	3-6	5	0	0	2	2	1	Senior
02/10/24	Providence (MT)	12	21	6-11	0-0	0-0	4	1	0	0	0	1	Senior
02/15/24	Montana Tech (MT)	13	36	6-10	0-0	1-2	11	2	0	0	1	4	Senior
02/17/24	Montana State-Northern (MT)	12	35	6-12	0-0	0-0	12	3	2	0	1	2	Senior
02/22/24	Carroll (MT)	9	33	4-6	0-1	1-1	4	0	0	0	2	4	Senior
02/24/24	Montana Western (MT)	35	37	16-21	0-0	3-4	10	0	0	0	2	4	Senior
02/29/24	Montana State-Northern (MT)	26	31	11-16	0-0	4-7	4	0	0	1	2	4	Senior
03/01/24	Carroll (MT)	1	29	0-5	0-0	1-2	4	2	2	0	4	1	Senior
