Game By Game - Team Statistics
Opponent	Date	Score	W/L	FGM/A	PCT	3FG/A	PCT	FTM/A	PCT	OFF	DEF	TOT	AVG	PF	AST	TO	BLK	STL	PTS	AVG
vs Warner Pacific	11/09/21	87-64	W	35-66	.530	12-27	.444	5-6	.833	12	25	37	37.0	9	21	12	3	12	87	87.0
vs Dixie St.	11/12/21	80-52	W	30-76	.395	9-22	.409	11-15	.733	19	33	52	44.5	10	23	8	0	12	80	83.5
at Prairie View	11/20/21	75-61	W	24-63	.381	10-26	.385	17-27	.630	11	30	41	43.3	21	14	21	0	11	75	80.7
at Hawaii	11/21/21	68-71	L	23-62	.371	8-22	.364	14-17	.824	11	25	36	41.5	15	11	12	0	10	68	77.5
at Utah Valley	11/27/21	43-62	L	15-59	.254	1-13	.077	12-14	.857	10	20	30	39.2	12	8	10	1	7	43	70.6
vs Idaho St.	12/02/21	40-83	L	15-50	.300	3-17	.176	7-12	.583	10	16	26	37.0	13	8	18	2	9	40	65.5
vs Weber St.	12/04/21	57-85	L	22-58	.379	5-18	.278	8-8	1.000	6	15	21	34.7	17	12	17	1	11	57	64.3
vs Pepperdine	12/10/21	75-71	W	29-57	.509	12-19	.632	5-6	.833	8	20	28	33.9	12	18	16	0	10	75	65.6
vs Portland	12/12/21	54-71	L	20-65	.308	6-21	.286	8-12	.667	15	25	40	34.6	20	11	21	2	5	54	64.3
vs Simpson (CA)	12/19/21	73-45	W	27-69	.391	4-15	.267	15-16	.938	19	34	53	36.4	15	19	18	5	12	73	65.2
vs Sacramento St.	01/15/22	58-70	L	21-61	.344	4-16	.250	12-14	.857	15	24	39	36.6	16	8	12	4	7	58	64.5
at Eastern Wash.	01/17/22	44-68	L	12-56	.214	4-22	.182	16-17	.941	5	26	31	36.2	17	5	16	3	11	44	62.8
at Montana	01/20/22	57-93	L	21-58	.362	7-29	.241	8-9	.889	8	18	26	35.4	18	6	13	2	3	57	62.4
at Montana St.	01/22/22	56-71	L	14-52	.269	8-23	.348	20-25	.800	13	28	41	35.8	14	10	17	1	5	56	61.9
at Southern Utah	01/27/22	63-64	L	25-66	.379	10-27	.370	3-7	.429	12	23	35	35.7	13	14	13	6	11	63	62.0
vs Northern Ariz.	01/29/22	68-79	L	29-57	.509	8-21	.381	2-5	.400	4	20	24	35.0	15	19	19	3	10	68	62.4
vs Southern Utah	01/31/22	53-77	L	19-50	.380	4-21	.190	11-13	.846	4	26	30	34.7	17	8	18	3	6	53	61.8
vs Northern Colo.	02/03/22	51-59	L	20-58	.345	3-21	.143	8-14	.571	11	24	35	34.7	16	7	10	4	7	51	61.2
at Sacramento St.	02/05/22	62-73	L	20-53	.377	5-15	.333	17-23	.739	8	18	26	34.3	17	8	13	1	5	62	61.3
at Northern Colo.	02/07/22	45-93	L	18-65	.277	4-28	.143	5-7	.714	12	16	28	34.0	15	8	16	1	11	45	60.5
at Northern Ariz.	02/17/22	66-94	L	23-53	.434	7-22	.318	13-15	.867	7	18	25	33.5	15	11	20	3	7	66	60.7
vs Montana	02/19/22	55-76	L	18-55	.327	8-21	.381	11-11	1.000	12	14	26	33.2	16	7	19	0	12	55	60.5
vs Montana St.	02/21/22	57-82	L	21-62	.339	12-36	.333	3-5	.600	14	25	39	33.4	16	15	17	4	3	57	60.3
at Weber St.	02/23/22	65-73	L	25-50	.500	9-22	.409	6-11	.545	8	24	32	33.4	22	11	19	2	3	65	60.5
at Idaho St.	02/26/22	64-67	L	24-59	.407	8-27	.296	8-9	.889	11	23	34	33.4	18	16	13	1	5	64	60.6
at Idaho	02/28/22	39-64	L	18-62	.290	1-17	.059	2-4	.500	7	30	37	33.5	8	6	14	1	6	39	59.8
vs Idaho	03/02/22	68-73	L	30-64	.469	6-26	.231	2-2	1.000	7	22	29	33.4	16	18	11	1	6	68	60.1
vs Eastern Wash.	03/04/22	50-68	L	17-46	.370	8-21	.381	8-13	.615	9	22	31	33.3	13	12	21	1	9	50	59.8
at Idaho	03/07/22	52-75	L	19-61	.311	2-17	.118	12-19	.632	11	31	42	33.6	14	6	15	2	8	52	59.5
