Baird, Morgan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
10/30/22	The King's University	10	20	4-7	0-0	2-2	3	1	1	2	2	0
11/04/22	Lewis-Clark State	3	17	1-6	0-0	1-2	3	4	0	1	1	2
11/05/22	Lewis-Clark State	22	22	10-17	0-0	2-2	6	0	1	1	2	1
11/11/22	San Diego Christian	16	14	7-11	0-0	2-2	6	2	3	0	0	0
11/12/22	Vanguard	8	13	3-4	0-0	2-2	2	0	0	0	3	5
11/25/22	Dickinson State	14	14	7-8	0-0	0-0	3	0	1	1	1	3
11/26/22	Dickinson State	18	16	8-11	0-0	2-2	3	0	0	2	0	1
12/01/22	Montana Tech	13	24	6-11	0-0	1-1	6	1	0	1	1	1
12/03/22	Providence (Mont.)	0	14	0-2	0-0	0-0	1	0	1	0	1	1
12/20/22	Benedictine Mesa	11	11	5-7	0-0	1-3	2	2	0	0	0	3
12/21/22	San Diego Christian	12	17	5-11	0-0	2-2	3	0	0	0	2	1
12/22/22	Rust	8	16	3-9	0-0	2-2	6	0	0	0	1	1
12/29/22	Southern Alberta Institute of	18	23	6-6	0-0	6-7	7	4	0	0	0	0
12/30/22	Dickinson State	8	14	3-7	0-0	2-4	3	1	1	0	0	2
01/05/23	Montana State-Northern	15	14	7-10	0-0	1-2	0	1	0	1	2	2
01/07/23	Carroll	5	16	2-3	0-0	1-2	2	0	0	0	0	1
01/12/23	Montana Western	13	18	6-10	0-0	1-1	2	0	0	0	1	2
01/14/23	Providence (Mont.)	20	22	9-15	0-0	2-3	7	1	0	1	1	1
01/19/23	Montana Tech	9	13	2-5	0-0	5-6	1	0	1	1	1	1
01/21/23	Montana State-Northern	12	12	5-7	0-0	2-2	2	0	0	0	2	2
01/26/23	Carroll	4	12	1-4	0-0	2-2	1	0	0	0	0	0
01/28/23	Montana Western	10	17	4-8	0-0	2-2	1	0	1	0	1	2
02/02/23	Providence (Mont.)	3	12	1-2	0-0	1-1	2	1	2	0	0	0
02/04/23	Montana Tech	2	16	0-3	0-0	2-2	3	0	0	0	0	1
02/09/23	Montana State-Northern	10	21	3-8	0-1	4-6	2	0	4	0	0	2
02/11/23	Carroll (MT)	2	19	1-5	0-0	0-0	3	1	2	1	1	2
02/18/23	Montana Western	2	6	1-2	0-0	0-0	2	0	0	0	0	1
02/26/23	Montana State-Northern	14	14	6-9	0-0	2-2	4	1	0	0	1	1
02/27/23	Montana Western	2	18	1-1	0-0	0-0	3	0	0	1	0	1
03/07/23	Menlo	6	20	2-6	0-0	2-2	3	1	1	1	1	1
03/08/23	Lewis-Clark State	4	19	1-9	0-0	2-2	4	1	0	0	0	1
